X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,City,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.143462,47.6207163,67,570011,Bellevue Christian Reformed Church P&R,1221 148th Ave NE,98007,Bellevue,538,E,L, ,20,0,1317331.603,229168.5647,-122.1434636,47.62071415,1221, ,148th,Ave,NE, , , , 
-122.1880067,47.71717096,68,570047,Kingsgate P&R,13001 116th Way NE,98034,Kirkland,719,E,P,S,502,0,1306967.058,264536.6749,-122.1880079,47.71716892,13001, ,116th,Way,NE, , , , 
-122.1891534,47.55706893,69,570070,Newport Hills P&R,5115 113th Pl SE,98006,Bellevue,722,E,P,S,275,0,1305656,206151,-122.1891553,47.55706685,5115, ,113th,Pl,SE, , , , 
-122.3235649,47.57180812,70,570094,Airport/Spokane P&R,Airport Way/Spokane St,98134,Seattle,749,N,P,S,25,0,1272577,212140,-122.3235668,47.57180628,0, ,Airport,St, , ,Spokane,St, 
-122.1236338,47.67649159,71,570132,Redmond P&R,16201 NE 83rd St,98052,Redmond,726,E,P,KC,377,0,1322562,249428,-122.1236351,47.67648944,16201,NE,83rd,St,,,Redmond P&R,,
-122.0637255,47.35829491,72,570040,Cornerstone United Methodist Church P&R,20730 SE 272nd St,98042,Kent,583,S,L, ,20,0,1335463,133134,-122.0637284,47.35829253,20730,SE,272nd,St, , , , , 
-122.187597,47.67899757,73,570069,Kirkland Way P&R,I-405/NE 85th St,98033,Kirkland,720,E,P,C,20,0,1306822.875,250612.6869,-122.1875984,47.67899552,0,NE,85th,St, ,,I-405,, 
-122.2599877,47.75868836,74,570122,Bethany Bible Church P&R,6214 Bothell Way NE,98028,Kenmore,501,N,L, ,75,0,1289531.82,279998.4303,-122.2599888,47.75868648,6214, ,Bothell,Way,NE, ,62nd,Ave,NE
-122.1943524,47.37990544,75,570124,Kent United Methodist Church P&R,11010 SE 248th St,98031,Kent,527,S,L, ,23,0,1303229.625,141560.6721,-122.1943553,47.37990337,11010,SE,248th,St, , ,110th,Ave,SE
-122.336137,47.51988914,76,570055,Olson Pl SW/Myers Way P&R,9000 Olson Pl SW,98106,Seattle,738,S,P,KC,100,0,1269104.375,193265.734,-122.3361391,47.5198873,9000, ,Olson,Pl,SW, , , , 
-122.2136239,47.47273694,77,570065,South Renton P&R,205 S 7th St,98055,Renton,743,S,P,S,385,0,1299063,175502,-122.2136263,47.47273491,205,S,7th,St, , , , , 
-122.2403172,47.75708353,78,570025,Kenmore Community Church P&R,7504 NE Bothell Way,98028,Kenmore,557,N,L, ,15,0,1294358.51,279324.0679,-122.2403183,47.75708161,7504,NE,Bothell,Way, , ,Kenmore P&R,Rd, 
-122.2315075,47.30602229,79,570027,Auburn Garage at Auburn Station P&R,110 2nd St SW,98001,Auburn,873,S,P,ST,520,0,1293536,114780,-122.2315108,47.3060203,23, ,A,St,SW, , , , 
-122.230812,47.30609394,80,570028,Auburn Surface Lot at Auburn Station P&R,23 A St SW,98001,Auburn,873.1,S,P,ST,113,0,1293709,114803,-122.2308153,47.30609196,23, ,A,St,SW, , , , 
-122.3254981,47.31498823,81,570123,Our Saviour's Baptist Church P&R,701 S 320th St,98003,Federal Way,531,S,L, ,24,0,1270283.585,118487.7734,-122.3255014,47.31498644,701,S,320th,St, , ,8th,Ave,S
-122.1657372,47.43060672,82,570118,Fairwood Assembly of God P&R,13120 SE 192nd St,98058,Renton,570,S,L, ,25,0,1310638.392,159927.9351,-122.1657398,47.43060457,13120,SE,192nd,St, , , , , 
-122.164658,47.59200283,83,570005,Bellevue Foursquare Church P&R,2015 Richards Rd,98005,Bellevue,916,E,L,ST,50,0,1311923.889,218786.1672,-122.1646598,47.59200071,2015, ,Richards,Rd, ,SE,21st,Pl, 
-122.1326343,47.61404669,84,570149,Cross of Christ Lutheran Church P&R,411 156th Ave NE,98007,Bellevue,912,E,L,,50,0,1319960.458,226690.8023,-122.1326359,47.61404452,411,,156th,Ave,NE,NE,4th,St,
